Ms,maxfield,t
-2498.0,1.2246467991473533e-15,0.0
-2494.0,-0.06283143965558882,1.0
-2500.0,-0.12566039883352592,2.0
-2498.0,-0.1884843971540777,3.0
-2500.0,-0.2513009544333757,4.0
-2498.0,-0.31410759078128436,5.0
-2496.0,-0.3769018266993429,6.0
-2500.0,-0.4396811831786471,7.0
-2496.0,-0.5024431817976942,8.0
-2500.0,-0.5651853448202444,9.0
-2498.0,-0.6279051952931335,10.0
-2498.0,-0.6906002571440581,11.0
-2498.0,-0.7532680552793279,12.0
-2500.0,-0.8159061156815723,13.0
-2490.0,-0.878511965507429,14.0
-2500.0,-0.9410831331851455,15.0
-2496.0,-1.0036171485121472,16.0
-2500.0,-1.066111542752598,17.0
-2498.0,-1.1285638487348164,18.0
-2498.0,-1.190971600948693,19.0
-2498.0,-1.2533323356430384,20.0
-2498.0,-1.3156435909228261,21.0
-2492.0,-1.3779029068463777,22.0
-2492.0,-1.4401078255225195,23.0
-2498.0,-1.5022558912075687,24.0
-2498.0,-1.5643446504023073,25.0
-2496.0,-1.6263716519488307,26.0
-2498.0,-1.6883344471273343,27.0
-2500.0,-1.7502305897527566,28.0
-2494.0,-1.8120576362713745,29.0
-2488.0,-1.8738131458572478,30.0
-2488.0,-1.9354946805086046,31.0
-2482.0,-1.9970998051440683,32.0
-2492.0,-2.058626087698812,33.0
-2478.0,-2.1200710992205454,34.0
-2488.0,-2.181432413965425,35.0
-2484.0,-2.2427076094938077,36.0
-2490.0,-2.303894266765902,37.0
-2494.0,-2.364989970237244,38.0
-2484.0,-2.4259923079540715,39.0
-2476.0,-2.4868988716485503,40.0
-2478.0,-2.5477072568338244,41.0
-2478.0,-2.608415062898968,42.0
-2468.0,-2.669019893203755,43.0
-2466.0,-2.7295193551732524,44.0
-2464.0,-2.789911060392293,45.0
-2464.0,-2.8501926246997575,46.0
-2468.0,-2.9103616682827154,47.0
-2458.0,-2.970415815770347,48.0
-2454.0,-3.030352696327734,49.0
-2454.0,-3.090169943749469,50.0
-2450.0,-3.1498651965530517,51.0
-2446.0,-3.2094360980720946,52.0
