t_vals,i_fracs,h_fracs
0,0.502,0.498
100,0.4796,0.5204
200,0.4704,0.5296
300,0.462,0.538
400,0.4756,0.5244
500,0.4624,0.5376
600,0.4824,0.5176
700,0.4768,0.5232
800,0.4568,0.5432
900,0.4952,0.5048
1000,0.4884,0.5116
1100,0.4888,0.5112
1200,0.498,0.502
1300,0.4868,0.5132
1400,0.4692,0.5308
1500,0.5052,0.4948
1600,0.4748,0.5252
1700,0.4664,0.5336
1800,0.4816,0.5184
1900,0.4828,0.5172
2000,0.4792,0.5208
2100,0.4712,0.5288
2200,0.4436,0.5564
2300,0.4716,0.5284
2400,0.4816,0.5184
2500,0.4768,0.5232
2600,0.4496,0.5504
2700,0.4716,0.5284
2800,0.4892,0.5108
2900,0.4824,0.5176
3000,0.4708,0.5292
3100,0.4756,0.5244
3200,0.486,0.514
3300,0.4576,0.5424
3400,0.4812,0.5188
3500,0.4856,0.5144
3600,0.4876,0.5124
3700,0.4776,0.5224
3800,0.474,0.526
3900,0.458,0.542
4000,0.4636,0.5364
4100,0.4852,0.5148
4200,0.4832,0.5168
4300,0.4892,0.5108
4400,0.478,0.522
4500,0.48,0.52
4600,0.4976,0.5024
4700,0.4832,0.5168
4800,0.4852,0.5148
4900,0.4672,0.5328
5000,0.4624,0.5376
5100,0.4868,0.5132
5200,0.4716,0.5284
5300,0.4908,0.5092
5400,0.4836,0.5164
5500,0.4864,0.5136
5600,0.4836,0.5164
5700,0.4968,0.5032
5800,0.468,0.532
5900,0.504,0.496
6000,0.474,0.526
6100,0.4608,0.5392
6200,0.4844,0.5156
6300,0.476,0.524
6400,0.4812,0.5188
6500,0.4684,0.5316
6600,0.4764,0.5236
6700,0.4872,0.5128
6800,0.4808,0.5192
6900,0.4688,0.5312
7000,0.4952,0.5048
7100,0.4792,0.5208
7200,0.4676,0.5324
7300,0.4796,0.5204
7400,0.4816,0.5184
7500,0.4888,0.5112
7600,0.4568,0.5432
7700,0.466,0.534
7800,0.4944,0.5056
7900,0.484,0.516
8000,0.4912,0.5088
8100,0.4816,0.5184
8200,0.4956,0.5044
8300,0.4848,0.5152
8400,0.4784,0.5216
8500,0.4948,0.5052
8600,0.4932,0.5068
8700,0.4776,0.5224
8800,0.5008,0.4992
8900,0.4656,0.5344
9000,0.4884,0.5116
9100,0.46,0.54
9200,0.4604,0.5396
9300,0.4564,0.5436
9400,0.4836,0.5164
9500,0.4596,0.5404
9600,0.4872,0.5128
9700,0.466,0.534
9800,0.4628,0.5372
9900,0.5,0.5
