survival_probabilities,t
0.796,0
0.685,1
0.607,2
0.565,3
0.53,4
0.496,5
0.475,6
0.464,7
0.45,8
0.436,9
0.414,10
0.396,11
0.389,12
0.382,13
0.375,14
0.369,15
0.369,16
0.362,17
0.355,18
0.35,19
0.344,20
0.34,21
0.337,22
0.331,23
0.327,24
0.325,25
0.322,26
0.317,27
0.317,28
0.315,29
0.313,30
0.307,31
0.305,32
0.305,33
0.302,34
0.301,35
0.298,36
0.298,37
0.297,38
0.297,39
0.297,40
0.296,41
0.293,42
0.291,43
0.29,44
0.29,45
0.289,46
0.289,47
0.289,48
0.289,49
0.287,50
0.287,51
0.287,52
0.287,53
0.287,54
0.287,55
0.287,56
0.287,57
0.286,58
0.286,59
0.285,60
0.284,61
0.284,62
0.284,63
0.284,64
0.283,65
0.283,66
0.282,67
0.282,68
0.281,69
0.28,70
0.279,71
0.279,72
0.276,73
0.276,74
0.276,75
0.276,76
0.276,77
0.275,78
0.275,79
0.275,80
0.275,81
0.274,82
0.274,83
0.274,84
0.274,85
0.274,86
0.274,87
0.274,88
0.274,89
0.274,90
0.274,91
0.274,92
0.274,93
0.274,94
0.274,95
0.273,96
0.272,97
0.272,98
0.272,99
0.272,100
0.272,101
0.272,102
0.272,103
0.272,104
0.272,105
0.272,106
0.272,107
0.272,108
0.272,109
0.272,110
0.272,111
0.272,112
0.272,113
0.272,114
0.272,115
0.272,116
0.272,117
0.272,118
0.272,119
0.272,120
0.272,121
0.272,122
0.272,123
0.272,124
0.272,125
0.272,126
0.272,127
0.272,128
0.272,129
0.272,130
0.272,131
0.272,132
0.272,133
0.272,134
0.272,135
0.272,136
0.272,137
0.272,138
0.272,139
0.272,140
0.272,141
0.272,142
0.272,143
0.272,144
0.272,145
0.272,146
0.272,147
0.272,148
0.272,149
0.272,150
0.272,151
0.272,152
0.272,153
0.272,154
0.272,155
0.272,156
0.272,157
0.272,158
0.272,159
0.272,160
0.272,161
0.272,162
0.272,163
0.272,164
0.272,165
0.272,166
0.272,167
0.272,168
0.272,169
0.272,170
0.272,171
0.272,172
0.272,173
0.272,174
0.272,175
0.271,176
0.271,177
0.27,178
0.27,179
0.27,180
0.27,181
0.27,182
0.27,183
0.27,184
0.27,185
0.27,186
0.27,187
0.27,188
0.27,189
0.27,190
0.27,191
0.27,192
0.27,193
0.27,194
0.27,195
0.27,196
0.27,197
0.27,198
0.27,199
0.27,200
0.27,201
0.27,202
0.27,203
0.27,204
0.27,205
0.27,206
0.27,207
0.27,208
0.27,209
0.27,210
0.27,211
0.27,212
0.27,213
0.27,214
0.27,215
0.27,216
0.27,217
0.27,218
0.27,219
0.27,220
0.27,221
0.27,222
0.27,223
0.27,224
0.27,225
0.27,226
0.27,227
0.27,228
0.27,229
0.27,230
0.27,231
0.27,232
0.27,233
0.27,234
0.27,235
0.27,236
0.27,237
0.27,238
0.27,239
0.27,240
0.27,241
0.27,242
0.27,243
0.27,244
0.27,245
0.27,246
0.27,247
0.27,248
0.27,249
0.27,250
0.27,251
0.27,252
0.27,253
0.27,254
0.27,255
0.27,256
0.27,257
0.27,258
0.27,259
0.27,260
0.27,261
0.27,262
0.27,263
0.27,264
0.27,265
0.27,266
0.27,267
0.27,268
0.27,269
0.27,270
0.27,271
0.27,272
0.27,273
0.27,274
0.27,275
0.27,276
0.27,277
0.27,278
0.27,279
0.27,280
0.27,281
0.27,282
0.27,283
0.27,284
0.27,285
0.27,286
0.27,287
0.27,288
0.27,289
0.27,290
0.27,291
0.27,292
0.27,293
0.27,294
0.27,295
0.27,296
0.27,297
0.27,298
0.27,299
