a_frac,b_frac,c_frac,time
0.042,0.0392,0.0344,0.01
0.038,0.0348,0.0324,0.02
0.0336,0.0288,0.0288,0.03
0.0308,0.0256,0.028,0.04
0.026,0.0204,0.0248,0.05
0.0224,0.0152,0.022,0.060000000000000005
0.0188,0.0136,0.0172,0.07
0.0152,0.0112,0.016,0.08
0.0132,0.0096,0.0144,0.09
0.0124,0.008,0.0116,0.09999999999999999
0.0104,0.0068,0.0088,0.10999999999999999
0.01,0.006,0.0076,0.11999999999999998
0.0088,0.0052,0.0072,0.12999999999999998
0.008,0.0048,0.006,0.13999999999999999
0.0068,0.004,0.0052,0.15
0.0064,0.004,0.0048,0.16
0.006,0.0032,0.0044,0.17
0.006,0.0032,0.0036,0.18000000000000002
0.0056,0.002,0.0028,0.19000000000000003
0.0048,0.0016,0.0016,0.20000000000000004
0.004,0.0016,0.0016,0.21000000000000005
0.0036,0.0016,0.0016,0.22000000000000006
0.0032,0.0012,0.0012,0.23000000000000007
0.0032,0.0012,0.0012,0.24000000000000007
0.0028,0.0012,0.0012,0.25000000000000006
0.0028,0.0008,0.0012,0.26000000000000006
0.002,0.0008,0.0012,0.2700000000000001
0.002,0.0004,0.0012,0.2800000000000001
0.002,0.0004,0.0012,0.2900000000000001
0.002,0.0,0.0012,0.3000000000000001
0.002,0.0,0.0012,0.3100000000000001
0.002,0.0,0.0012,0.3200000000000001
0.002,0.0,0.0012,0.3300000000000001
0.0016,0.0,0.0012,0.34000000000000014
0.0012,0.0,0.0012,0.35000000000000014
0.0012,0.0,0.0008,0.36000000000000015
0.0012,0.0,0.0008,0.37000000000000016
0.0012,0.0,0.0004,0.38000000000000017
0.0012,0.0,0.0004,0.3900000000000002
0.0012,0.0,0.0004,0.4000000000000002
0.0012,0.0,0.0004,0.4100000000000002
0.0012,0.0,0.0004,0.4200000000000002
0.0008,0.0,0.0004,0.4300000000000002
0.0008,0.0,0.0004,0.4400000000000002
0.0008,0.0,0.0004,0.45000000000000023
0.0008,0.0,0.0004,0.46000000000000024
0.0008,0.0,0.0004,0.47000000000000025
0.0008,0.0,0.0004,0.48000000000000026
0.0008,0.0,0.0004,0.49000000000000027
0.0008,0.0,0.0004,0.5000000000000002
0.0008,0.0,0.0004,0.5100000000000002
0.0008,0.0,0.0004,0.5200000000000002
0.0008,0.0,0.0004,0.5300000000000002
0.0008,0.0,0.0004,0.5400000000000003
0.0008,0.0,0.0004,0.5500000000000003
0.0008,0.0,0.0004,0.5600000000000003
0.0008,0.0,0.0004,0.5700000000000003
0.0008,0.0,0.0004,0.5800000000000003
0.0008,0.0,0.0004,0.5900000000000003
0.0008,0.0,0.0004,0.6000000000000003
0.0008,0.0,0.0004,0.6100000000000003
0.0008,0.0,0.0004,0.6200000000000003
0.0008,0.0,0.0004,0.6300000000000003
0.0008,0.0,0.0004,0.6400000000000003
0.0012,0.0,0.0004,0.6500000000000004
0.0012,0.0,0.0004,0.6600000000000004
0.0012,0.0,0.0004,0.6700000000000004
0.0012,0.0,0.0004,0.6800000000000004
0.0012,0.0,0.0004,0.6900000000000004
0.0012,0.0,0.0004,0.7000000000000004
0.0012,0.0,0.0004,0.7100000000000004
0.0012,0.0,0.0004,0.7200000000000004
0.0012,0.0,0.0004,0.7300000000000004
0.0012,0.0,0.0004,0.7400000000000004
0.0012,0.0,0.0004,0.7500000000000004
0.0012,0.0,0.0004,0.7600000000000005
0.0012,0.0,0.0004,0.7700000000000005
0.0012,0.0,0.0004,0.7800000000000005
0.0012,0.0,0.0004,0.7900000000000005
0.0012,0.0,0.0004,0.8000000000000005
0.0012,0.0,0.0004,0.8100000000000005
0.0012,0.0,0.0004,0.8200000000000005
0.0012,0.0,0.0004,0.8300000000000005
0.0012,0.0,0.0004,0.8400000000000005
0.0012,0.0,0.0008,0.8500000000000005
0.0012,0.0,0.0008,0.8600000000000005
0.0012,0.0,0.0008,0.8700000000000006
0.0016,0.0,0.0008,0.8800000000000006
0.0016,0.0,0.0008,0.8900000000000006
0.0016,0.0,0.0012,0.9000000000000006
0.002,0.0004,0.0016,0.9100000000000006
0.002,0.0004,0.0016,0.9200000000000006
0.0024,0.0004,0.0016,0.9300000000000006
0.0024,0.0012,0.0016,0.9400000000000006
0.0024,0.0012,0.0016,0.9500000000000006
0.0032,0.0016,0.002,0.9600000000000006
0.0032,0.0016,0.0028,0.9700000000000006
0.0036,0.0016,0.0028,0.9800000000000006
0.0036,0.0024,0.0028,0.9900000000000007
0.0036,0.0028,0.0032,1.0000000000000007
0.0044,0.0032,0.0036,1.0100000000000007
0.0044,0.0032,0.0036,1.0200000000000007
0.0048,0.004,0.004,1.0300000000000007
0.0056,0.004,0.0044,1.0400000000000007
0.0056,0.004,0.0048,1.0500000000000007
0.006,0.0044,0.0056,1.0600000000000007
0.006,0.0048,0.006,1.0700000000000007
0.006,0.0052,0.0064,1.0800000000000007
0.0064,0.0052,0.0068,1.0900000000000007
0.0072,0.006,0.0084,1.1000000000000008
0.008,0.0064,0.0088,1.1100000000000008
0.0092,0.0068,0.0104,1.1200000000000008
0.0108,0.0076,0.012,1.1300000000000008
0.0112,0.0092,0.014,1.1400000000000008
0.0132,0.01,0.0164,1.1500000000000008
0.014,0.0108,0.018,1.1600000000000008
0.0148,0.0124,0.02,1.1700000000000008
0.0156,0.0144,0.0236,1.1800000000000008
0.016,0.0144,0.0264,1.1900000000000008
0.0168,0.0164,0.0288,1.2000000000000008
0.018,0.0184,0.0296,1.2100000000000009
0.0188,0.0204,0.0312,1.2200000000000009
0.0204,0.022,0.0344,1.2300000000000009
0.0228,0.0244,0.0368,1.2400000000000009
0.0256,0.0268,0.0392,1.2500000000000009
0.0276,0.0272,0.042,1.260000000000001
0.0308,0.0296,0.0448,1.270000000000001
0.0332,0.0348,0.0476,1.280000000000001
0.0384,0.0412,0.05,1.290000000000001
0.0412,0.0468,0.054,1.300000000000001
0.0452,0.0484,0.0576,1.310000000000001
0.0532,0.052,0.0612,1.320000000000001
0.0576,0.0544,0.0652,1.330000000000001
0.0628,0.0576,0.0692,1.340000000000001
0.0672,0.066,0.0732,1.350000000000001
0.072,0.0716,0.0788,1.360000000000001
0.0792,0.0772,0.0864,1.370000000000001
0.0876,0.0836,0.0924,1.380000000000001
0.0944,0.0896,0.0992,1.390000000000001
0.1008,0.1,0.1096,1.400000000000001
0.1096,0.1052,0.118,1.410000000000001
0.1144,0.1108,0.1272,1.420000000000001
0.1212,0.12,0.1368,1.430000000000001
0.1268,0.1284,0.1468,1.440000000000001
0.134,0.1356,0.1564,1.450000000000001
0.1424,0.1448,0.1656,1.460000000000001
0.1492,0.1544,0.1772,1.470000000000001
0.1556,0.1632,0.188,1.480000000000001
0.1616,0.1708,0.2012,1.490000000000001
0.1704,0.1772,0.2124,1.500000000000001
0.1752,0.1848,0.2256,1.5100000000000011
0.1804,0.1908,0.2364,1.5200000000000011
0.186,0.1976,0.246,1.5300000000000011
0.1956,0.2024,0.2536,1.5400000000000011
0.2028,0.21,0.2652,1.5500000000000012
0.2124,0.2168,0.2748,1.5600000000000012
