Temperature,Total Magnetisation,Total Magnetisation Error,Susceptibility,Susceptibility Error,Total Energy,Total Energy Error,Heat Capacity per Spin,Heat Capacity per Spin Error
3.000000,30.796000,0.239119,3.759296,4.170614,-2035.264000,7.361497,0.365612,0.023252
2.900000,4.414141,0.195437,4.663119,3.135545,-2154.412121,4.267660,0.456116,0.021795
2.800000,10.274747,0.265722,5.861216,3.187441,-2270.307071,5.920630,0.516330,0.023035
2.700000,15.650505,0.422536,9.010544,3.348787,-2404.949495,7.461283,0.594656,0.028307
2.600000,36.935354,0.631524,14.924120,3.607720,-2576.606061,9.794994,0.765482,0.034035
2.500000,37.260606,1.314353,28.014854,3.622441,-2771.931313,12.878348,0.853998,0.042494
2.400000,163.036364,2.072571,53.215556,4.201153,-3017.624242,18.455577,1.143058,0.054298
2.300000,808.733333,7.931983,152.149544,5.152502,-3392.044444,30.343665,1.939999,0.083531
2.200000,1983.789899,0.181539,2.937238,3.893944,-3878.036364,3.952081,1.305083,0.056967
2.100000,2172.800000,0.059611,0.902982,3.311926,-4155.886869,2.196684,0.957708,0.040117
2.000000,2276.448485,0.022449,0.417607,2.743739,-4363.038384,1.436305,0.735943,0.031326
1.900000,2343.385859,0.010735,0.210792,2.364655,-4517.753535,1.047677,0.579282,0.027588
1.800000,2391.682828,0.006035,0.121006,1.841509,-4647.943434,0.734257,0.443139,0.017958
1.700000,2426.030303,0.003735,0.073181,1.639998,-4747.559596,0.548674,0.361620,0.016047
1.600000,2448.955556,0.002249,0.043763,1.312830,-4820.444444,0.433779,0.266611,0.012492
1.500000,2466.571717,0.001495,0.027511,1.066404,-4878.618182,0.327310,0.206604,0.010672
1.400000,2478.612121,0.000748,0.015943,0.830471,-4920.715152,0.241529,0.136791,0.005969
1.300000,2486.864646,0.000555,0.009987,0.656190,-4950.319192,0.175168,0.099652,0.005099
1.200000,2492.317172,0.000292,0.005641,0.488704,-4970.476768,0.127690,0.065506,0.003383
1.100000,2495.933333,0.000200,0.003347,0.353171,-4984.298990,0.097127,0.042381,0.002065
1.000000,2498.125253,0.000098,0.001552,0.237306,-4992.666667,0.065202,0.022520,0.001259
