Temperature,Total Magnetisation,Total Magnetisation Error,Susceptibility,Susceptibility Error,Total Energy,Total Energy Error,Heat Capacity per Spin,Heat Capacity per Spin Error
1.000000,8.000000,0.000000,0.000000,0.503017,-4739.256000,0.000000,0.050633,0.003879
1.100000,8.000000,0.000000,0.000000,0.450541,-4719.478788,0.000000,0.069723,0.002986
1.200000,8.000000,0.000000,0.000000,0.565476,-4699.676768,0.000000,0.086867,0.004147
1.300000,8.000000,0.000000,0.000000,0.802016,-4662.573737,0.000000,0.147245,0.007203
1.400000,8.000000,0.000000,0.000000,0.991419,-4626.969697,0.000000,0.182908,0.009046
1.500000,8.000000,0.000000,0.000000,1.112678,-4564.282828,0.000000,0.224111,0.010889
1.600000,8.000000,0.000000,0.000000,1.400858,-4506.185859,0.000000,0.314882,0.012384
1.700000,8.000000,0.000000,0.000000,1.654382,-4423.373737,0.000000,0.372719,0.017169
1.800000,8.000000,0.000000,0.000000,1.932988,-4318.557576,0.000000,0.480260,0.020830
1.900000,8.000000,0.000000,0.000000,2.197481,-4176.113131,0.000000,0.539680,0.026854
2.000000,8.000000,0.000000,0.000000,2.809515,-4007.737374,0.000000,0.734560,0.034212
2.100000,8.000000,0.000000,0.000000,3.085838,-3812.266667,0.000000,0.803231,0.036387
2.200000,8.000000,0.000000,0.000000,3.498140,-3519.563636,0.000000,0.937638,0.039463
2.300000,8.000000,0.000000,0.000000,3.835210,-3245.628283,0.000000,1.143559,0.051479
2.400000,8.000000,0.000000,0.000000,3.887195,-2958.488889,0.000000,1.009644,0.044831
2.500000,8.000000,0.000000,0.000000,3.815458,-2741.923232,0.000000,0.881707,0.038497
2.600000,8.000000,0.000000,0.000000,3.323682,-2561.139394,0.000000,0.663439,0.029635
2.700000,8.000000,0.000000,0.000000,3.215642,-2397.749495,0.000000,0.580103,0.024602
2.800000,8.000000,0.000000,0.000000,3.140203,-2251.983838,0.000000,0.514625,0.022049
2.900000,8.000000,0.000000,0.000000,3.015768,-2134.258586,0.000000,0.440226,0.017573
3.000000,8.000000,0.000000,0.000000,3.132005,-2034.004040,0.000000,0.422874,0.019143
