r,phi,field
1,0.08298146221304074,0.10492074859972238
2,0.03980700727399642,0.029258591408051537
3,0.02446427944790627,0.01129837341333235
4,0.017210260576567576,0.005719452090251205
5,0.013025375514905032,0.003458923663002718
6,0.010292413643312624,0.002331787281761656
7,0.008361801504678546,0.0016845321645287796
8,0.00692335003378733,0.0012762426518558565
9,0.005809317083135043,0.0010013951706405477
10,0.00492056072437182,0.0008074126589298288
11,0.004194492924856602,0.0006655175114865105
12,0.003589526958468327,0.0005588170292029109
13,0.0030768601838438714,0.00047684607291807794
14,0.0026358361480553587,0.0004128385026174797
15,0.0022511844869353994,0.0003622663483089487
16,0.0019113046874579239,0.00032201368252167807
17,0.0016071582434495817,0.00028988803819442665
18,0.0013315295824398068,0.0002643205616059075
19,0.0010785179155251101,0.0002441763108341066
20,0.0008431775669745681,0.0002286313168721255
21,0.0006212557011027107,0.00021709156217154243
22,0.0004089946935565485,0.0002091392235471249
23,0.0002029773707395118,0.0002044973618001221
24,0.0,0.0
