r,phi,field
1,0.527990643718057,0.18180265311102028
2,0.41449795821504326,0.09025400743264989
3,0.34748276723117394,0.056922909532015745
4,0.30065235321696865,0.04143243822555662
5,0.26461817514457114,0.03269228638584701
6,0.23526812567812982,0.027074300557183097
7,0.21046996952677346,0.023147770355467157
8,0.1889730194073401,0.0202468071089295
9,0.1699768167959849,0.018018996597475766
10,0.15293550250579135,0.016259468107548053
11,0.13745835942069123,0.014840658392215326
12,0.12325465520395627,0.013678932576132938
13,0.11010094324357503,0.012717221557096358
14,0.09782063055710022,0.011915335549825068
15,0.08627065162958027,0.011244253316304362
16,0.07533245781887113,0.01068260221750239
17,0.06490573103230543,0.010214408361729137
18,0.05490387275908316,0.009827615222335545
19,0.045250680418739794,0.009513084828841263
20,0.03587783390516833,0.009263912379023777
21,0.026722942596413328,0.009074951087767468
22,0.017727982084559356,0.008942482848725812
23,0.00883799975138414,0.008863993934853157
24,0.0,0.0
