omega,iterations
1.75,292
1.755128205128205,286
1.7602564102564102,279
1.7653846153846153,273
1.7705128205128204,266
1.7756410256410255,260
1.7807692307692307,253
1.785897435897436,246
1.791025641025641,240
1.7961538461538462,233
1.8012820512820513,226
1.8064102564102564,220
1.8115384615384615,213
1.8166666666666667,206
1.8217948717948718,199
1.8269230769230769,192
1.832051282051282,185
1.837179487179487,178
1.8423076923076922,171
1.8474358974358975,164
1.8525641025641026,156
1.8576923076923078,148
1.8628205128205129,140
1.867948717948718,131
1.873076923076923,122
1.8782051282051282,112
1.8833333333333333,105
1.8884615384615384,108
1.8935897435897435,112
1.8987179487179486,121
1.9038461538461537,127
1.9089743589743589,130
1.914102564102564,137
1.9192307692307693,150
1.9243589743589744,152
1.9294871794871795,163
1.9346153846153846,178
1.9397435897435897,193
1.9448717948717948,206
1.95,222
