step,com_x,com_y,fit_x,fit_y
0,25.8,25.2,25.775052494750707,25.274932506749757
1,26.2,25.4,26.025052484250708,25.524932520249756
2,26.2,25.8,26.275052473750705,25.774932533749755
3,26.4,26.2,26.525052463250706,26.024932547249758
4,26.8,26.2,26.775052452750707,26.274932560749757
5,27.2,26.4,27.025052442250708,26.524932574249757
6,27.2,26.8,27.275052431750705,26.774932587749756
7,27.4,27.2,27.525052421250706,27.02493260124976
8,27.8,27.2,27.775052410750707,27.27493261474976
9,28.2,27.4,28.025052400250704,27.524932628249758
10,28.2,27.8,28.275052389750705,27.774932641749757
11,28.4,28.2,28.525052379250706,28.024932655249756
12,28.8,28.2,28.775052368750707,28.27493266874976
13,29.2,28.4,29.025052358250704,28.52493268224976
14,29.2,28.8,29.275052347750705,28.774932695749758
15,29.4,29.2,29.525052337250706,29.024932709249757
16,29.8,29.2,29.775052326750703,29.27493272274976
17,30.2,29.4,30.025052316250704,29.52493273624976
18,30.2,29.8,30.275052305750705,29.77493274974976
19,30.4,30.2,30.525052295250703,30.02493276324976
20,30.8,30.2,30.775052284750704,30.274932776749758
21,31.2,30.4,31.025052274250704,30.524932790249757
22,31.2,30.8,31.275052263750705,30.77493280374976
23,31.4,31.2,31.525052253250703,31.02493281724976
24,31.8,31.2,31.775052242750704,31.27493283074976
25,32.2,31.4,32.0250522322507,31.52493284424976
26,32.2,31.8,32.275052221750705,31.77493285774976
27,32.4,32.2,32.5250522112507,32.02493287124976
28,32.8,32.2,32.77505220075071,32.27493288474976
29,33.2,32.4,33.025052190250705,32.52493289824976
30,33.2,32.8,33.2750521797507,32.77493291174976
31,33.4,33.2,33.5250521692507,33.02493292524976
32,33.8,33.2,33.775052158750704,33.27493293874976
33,34.2,33.4,34.0250521482507,33.524932952249756
34,34.2,33.8,34.275052137750706,33.77493296574976
35,34.4,34.2,34.5250521272507,34.02493297924976
36,34.8,34.2,34.7750521167507,34.27493299274976
37,35.2,34.4,35.025052106250705,34.52493300624976
38,35.2,34.8,35.2750520957507,34.77493301974976
39,35.4,35.2,35.5250520852507,35.02493303324976
40,35.8,35.2,35.775052074750704,35.274933046749766
41,36.2,35.4,36.0250520642507,35.524933060249765
42,36.2,35.8,36.2750520537507,35.774933073749764
43,36.4,36.2,36.5250520432507,36.024933087249764
44,36.8,36.2,36.7750520327507,36.27493310074976
45,37.2,36.4,37.025052022250705,36.52493311424976
46,37.2,36.8,37.2750520117507,36.77493312774976
47,37.4,37.2,37.5250520012507,37.02493314124976
48,37.8,37.2,37.7750519907507,37.27493315474976
49,38.2,37.4,38.0250519802507,37.52493316824976
50,38.2,37.8,38.2750519697507,37.77493318174976
51,38.4,38.2,38.5250519592507,38.02493319524976
52,38.8,38.2,38.7750519487507,38.274933208749765
53,39.2,38.4,39.0250519382507,38.524933222249764
54,39.2,38.8,39.2750519277507,38.774933235749764
55,39.4,39.2,39.5250519172507,39.02493324924976
56,39.8,39.2,39.775051906750704,39.27493326274976
57,40.2,39.4,40.0250518962507,39.52493327624976
58,40.2,39.8,40.2750518857507,39.77493328974976
59,40.4,40.2,40.525051875250696,40.02493330324977
60,40.8,40.2,40.7750518647507,40.27493331674977
61,41.2,40.4,41.0250518542507,40.524933330249766
62,41.2,40.8,41.2750518437507,40.774933343749765
63,41.4,41.2,41.5250518332507,41.024933357249765
64,41.8,41.2,41.7750518227507,41.274933370749764
65,42.2,41.4,42.025051812250695,41.52493338424976
66,42.2,41.8,42.2750518017507,41.77493339774976
67,42.4,42.2,42.525051791250704,42.02493341124976
68,42.8,42.2,42.7750517807507,42.27493342474976
69,43.2,42.4,43.0250517702507,42.52493343824976
70,43.2,42.8,43.275051759750696,42.77493345174976
71,43.4,43.2,43.52505174925069,43.02493346524977
72,43.8,43.2,43.7750517387507,43.274933478749766
73,44.2,43.4,44.0250517282507,43.524933492249765
74,44.2,43.8,44.2750517177507,43.774933505749765
75,44.4,44.2,44.5250517072507,44.024933519249764
76,44.8,44.2,44.775051696750694,44.27493353274977
77,45.2,44.4,45.0250516862507,44.52493354624977
78,45.2,44.8,45.275051675750696,44.77493355974977
79,45.4,45.2,45.5250516652507,45.02493357324977
80,45.8,45.2,45.7750516547507,45.27493358674977
81,46.2,45.4,46.025051644250695,45.52493360024977
82,46.2,45.8,46.27505163375069,45.774933613749766
83,46.4,46.2,46.5250516232507,46.024933627249766
84,46.8,46.2,46.7750516127507,46.274933640749765
85,47.2,46.4,47.0250516022507,46.524933654249764
86,47.2,46.8,47.275051591750696,46.774933667749764
87,47.4,47.2,47.52505158125069,47.02493368124976
88,47.8,47.2,47.7750515707507,47.27493369474976
89,48.2,47.4,48.025051560250695,47.52493370824976
90,48.2,47.8,48.2750515497507,47.77493372174977
91,48.4,48.2,48.5250515392507,48.02493373524977
92,48.8,48.2,48.775051528750694,48.27493374874977
93,49.2,48.4,49.02505151825069,48.524933762249766
94,49.2,48.8,49.275051507750696,48.77493377574977
95,49.4,49.2,49.5250514972507,49.02493378924977
96,49.8,49.2,49.7750514867507,49.27493380274977
97,50.2,49.4,50.025051476250695,49.52493381624977
98,50.2,49.8,50.27505146575069,49.77493382974977
99,50.4,50.2,50.52505145525069,50.02493384324977
100,50.8,50.2,50.775051444750694,50.27493385674977
101,51.2,50.4,51.0250514342507,50.52493387024977
102,51.2,50.8,51.275051423750696,50.77493388374977
103,51.4,51.2,51.525051413250694,51.02493389724977
104,51.8,51.2,51.77505140275069,51.274933910749766
105,52.2,51.4,52.025051392250695,51.524933924249765
106,52.2,51.8,52.27505138175069,51.774933937749765
107,52.4,52.2,52.5250513712507,52.024933951249764
108,52.8,52.2,52.775051360750695,52.27493396474977
109,53.2,52.4,53.02505135025069,52.52493397824977
110,53.2,52.8,53.27505133975069,52.77493399174977
111,53.4,53.2,53.525051329250694,53.02493400524977
112,53.8,53.2,53.7750513187507,53.27493401874977
113,54.2,53.4,54.025051308250696,53.524934032249774
114,54.2,53.8,54.27505129775069,53.774934045749774
115,54.4,54.2,54.52505128725069,54.02493405924977
116,54.8,54.2,54.77505127675069,54.27493407274977
117,55.2,54.4,55.02505126625069,54.52493408624977
118,55.2,54.8,55.2750512557507,54.77493409974977
119,55.4,55.2,55.525051245250694,55.02493411324977
120,55.8,55.2,55.77505123475069,55.27493412674977
121,56.2,55.4,56.02505122425069,55.52493414024977
122,56.2,55.8,56.27505121375069,55.77493415374977
123,56.4,56.2,56.52505120325069,56.02493416724977
124,56.8,56.2,56.775051192750695,56.27493418074977
125,57.2,56.4,57.02505118225069,56.52493419424977
126,57.2,56.8,57.27505117175069,56.77493420774977
127,57.4,57.2,57.52505116125069,57.02493422124977
128,57.8,57.2,57.77505115075069,57.27493423474977
